INSERT_DATETIME,URI,TOPIC,TOPIC_URI,TITLE,BODY,URL,RELEVANCE_CLASS
2023-10-18 03:00:59.403,7787684186,weather,437ce51c-6a4d-4e13-aae8-484c29aea411,US Hurricane Center sees 80 chance of cyclone formation near Windward Islands,"Oct 18 (Reuters) - A disturbance 1,000 miles east of the Windward Islands has an 80 chance of developing into a tropical cyclone in the next 48 hours, the YOU.S. National Hurricane Center (NHC) said on Wednesday. A tropical depression is likely to form during the next day or so, the forecaster said, adding that regardless of development, this system has the potential to bring gusty winds, heavy rainfall and flooding to portions of the Lesser Antilles beginning on Friday.",https://www.reuters.com/business/environment/us-hurricane-center-sees-80-chance-cyclone-formation-near-windward-islands-2023-10-18/,-1
2023-10-18 03:00:59.403,7787960127,warehouse_fire,52d8fd3f-0f55-4e78-af69-fdb8549a289f,"In Tavria direction, enemy lost 300 occupiers and airplane per day, - Defense Forces","Units of rocket troops and artillery from the OSGT Tavria carried out 1,412 fire missions during the day. The total losses of the enemy amounted to 288 people. Three invaders were captured. This was reported in the joint press center of the Defense Forces of the Tavria direction, Censor.NET informs. Also, Ukrainian fighters destroyed 16 units of enemy military equipment, in particular: In addition, one warehouse of enemy ammunition was destroyed.",https://censor.net/en/news/3450177/in_tavria_direction_enemy_lost_300_occupiers_and_airplane_per_day_defense_forces,-1
2023-10-18 03:00:59.403,b-2023-10-123671868,train,de828de1-8714-4f01-8447-c0c75027b871,"Indonesia: Train disruptions reported in Wates, Yogyakarta Special Region, as of October 18 after train derailment injured at least 32 people","Train disruptions ongoing in Wates, Yogyakarta, Indonesia, as of October 18 after passenger trains derailed. Confirm train schedules. Train disruptions are ongoing as of October 18 after at least 32 people were injured in the derailment of two passenger trains between Sentolo and Wates stations in Kulo Progo Regency, Yogyakarta Special Region, the afternoon of October 17. Officials are diverting trains to facilitate ongoing evacuations. Delays and cancellations are affecting passenger rail services in Java, including those passing through Surabaya, Malang, Cilacap, Jakarta, and Bandung. Authorities did not clarify when train services would resume normal operations; disruptions will likely continue in the coming days. Localized road transport disruptions are possible near the accident site until evacuations and clearance operations end. Wates is approximately 26 km (16.2 miles) southwest of Yogyakarta City. Confirm rail schedules in the coming days. Use alternative transport for time-sensitive travel. Plan for travel delays near the accident site.",https://crisis24.garda.com/alerts/2023/10/indonesia-train-disruptions-reported-in-wates-yogyakarta-special-region-as-of-oct-18-after-train-derailment-injured-at-least-32-people,-1
2023-10-18 03:00:59.403,7787554625,weather,9d7cd3e4-fd5c-41a9-b75e-7bbf2f193d41,Weather Today (October 18): Widespread Rain Over Kerala; Karnataka in for Isolated Rains  Weather.com,"Isolated rain is predicted over Sub-Himalayan West Bengal, Sikkim, Odisha, Coastal Andhra Pradesh, Yanam, Rayalaseema, Tamil Nadu, Puducherry, Karaikal, South Interior Karnataka, with a chance of lightning. Snow may mix in high elevations over Uttarakhand and Himachal Pradesh. The withdrawal line of the Southwest Monsoon has progressed into the entire Northeast Indi and the remainder of Bihar, Sub-Himalayan West Bengal, as of Tuesday, October 17, per IMD. To the south, a cyclonic circulation (CC) lies over the southeast Arabian Sea just off the Lakshadweep coast, and another CC over the southeast Bay of Bengal. Under its influence, fairly widespread to widespread rain with thunderstorms are likely over the Andaman-Nicobar Islands, Kerala-Mahe and Lakshadweep for the next 5 days. Light to moderate rainfall and thunderstorms are expected in Tamil Nadu and Puducherry on October 18. Furthermore, a new low-pressure area (LPA) is anticipated to take shape in the southeast Arabian Sea, linked to the previous cyclonic circulation by Wednesday. Another LPA is expected to emerge over the southeast Bay of Bengal by Friday. The former LPA may intensify and become a well-marked low-pressure area over eastcentral Arabian Sea and further into a depression by Saturday, moving in a west-northwest direction away from the Indian mainland. However, the GFS model that it might steer north or northeastward, potentially nearing the Gujarat coast mid-week. As for the latter LPA, significant development is unlikely, although both the ECMWF and GFS models suggest it could approach the Odisha coast in the middle of the following week. It is important to note that confidence levels in these scenarios remain relatively low. Maximum temperatures are forecast to be well lower-than-normal in Northwest India for the next 5 days, while higher-than-normal in the rest of the country, with no heat wave conditions. Overnight minimums should continue to be higher-than-normal across the country. ",https://weather.com/en-IN/india/news/news/2023-10-18-weather-today-oct-18-widespread-rain-may-impact-kerala-karnataka-in-for,-1
2023-10-18 03:00:59.403,7787935434,air,f530b349-ebfe-4bd0-bc0c-11d61b7bbac8,'Suspicious package' email sparks emergency response at airport,"Emirates has confirmed 'additional security checks' were carried out on an aircraft at Manchester Airport after an email claiming there was a 'suspicious package' onboard. Police and fire crews swarmed the plane after it landed from Dubai yesterday evening (Tuesday, October 17), Manchester Evening News reports. The Manchester Evening News understands the airfield was reportedly closed temporarily and arriving flights were delayed landing as the Emirates aircraft was searched. A spokesperson for Emirates said crews and ground teams 'co-operated fully with the authorities' before the aircraft was cleared. Passengers were then able to leave the plane as normal after no suspicious items were found. A live stream of the runway by Macc Aviation Live last night showed a number of police and fire service vehicles at the scene after they surrounded the aircraft at around 7.20pm. The airport confirmed that the Emirates flight had landed on Tuesday evening and that Greater Manchester Police were leading the incident. Amid the scenes, one person at the airport posted a video to X showing a large police presence on the runway. Does not look like we are taking off anytime soon at Manchester Airport, she wrote. Lots of activity on the runway, as another posted: Planes circling, fire trucks on the runways and flights held up at Manchester Airport. In a statement, a spokesperson for Emirates said: We can confirm that flight EK019 arriving in Manchester today (17 October) was subjected to additional security checks upon arrival. Emirates crew and ground teams co-operated fully with the authorities. After the local authorities cleared the aircraft, it proceeded to the gate where passengers disembarked as normal. A spokesperson for Greater Manchester Police last night said: At around 7:20pm this evening (Tuesday 17 October) Greater Manchester Police were made aware of an email claiming there was a suspicious package on a flight. The aircraft had landed at Manchester Airport and was held for further assessment. Searches and security checks have been completed, and no suspicious items have so far been found. After the local authorities cleared the aircraft, it proceeded to the gate where passengers disembarked as normal.",https://www.nottinghampost.com/news/uk-world-news/suspicious-package-email-sparks-emergency-8838783,-1
2023-10-18 03:00:59.403,7787531140,train,de828de1-8714-4f01-8447-c0c75027b871,Cullerin rail investigation interim report,"An interim report from the investigation into an accident where the driver of a freight train was fatally injured while outside the cabin details the circumstances of the accident, safety actions taken to date, and areas of ongoing investigation. The investigation into the 25 August 2022 accident, which occurred between Yass and Goulburn is being undertaken by the NSW Office of Transport Safety Investigations (OTSI), which investigates rail accidents in NSW under a collaboration agreement with the ATSB. The report details that 2 SCT Logistics locomotives, crewed by a driver and driver's assistant, were hauling containerised freight train 4MB9 that was en route to Queensland when the fatality occurred. The driver was found on the footplate on the exterior of the train and had suffered a fatal injury after leaving the cabin to check on equipment during an in-line fuelling operation. This interim report details factual information established in the investigation's evidence collection phase and has been prepared to provide an update to the rail industry and the public, said OTSI acting CEO and Chief Investigator Jim Modrouvanos. As such it does not contain any analysis or findings, which will be detailed in the final report on the investigation. Mr Modrouvanos explained that as the investigation progresses investigators will continue to review the rollingstock operator's management of the in-line fuelling system and whether any permanent lineside structures contributed to the driver's injury. The investigation will also consider enterprise training for the in-line fuelling system. The interim report notes that the train operator has taken proactive safety actions since the accident including issuing an updated instruction for in-line refuelling, as well as an updated procedure prohibiting crew from exiting the locomotive cabin while the train is in motion. A final report will be released at the conclusion of the investigation, however, if at any time during the course of the investigation we identify a critical safety issue, relevant stakeholders will be immediately notified so that appropriate safety actions can be taken. You can find here the report: Fatality on locomotive of train 4MB9 near Cullerin, New South Wales, on 25 August 2022 Public Release. This material from the originating organizationauthor(s) might be of the point-in-time nature, and edited for clarity, style and length. Mirage.News does not take institutional positions or sides, and all views, positions, and conclusions expressed herein are solely those of the author(s).View in full here.",https://www.miragenews.com/cullerin-rail-investigation-interim-report-1105723/,-1
2023-10-18 03:00:59.403,7787724044,weather,9d7cd3e4-fd5c-41a9-b75e-7bbf2f193d41,Double Whammy: Pair of Low Pressure Systems to Form in BoB and Arabian Sea by Oct 20-21  Weather.com,"Wednesday, October 18: The southwest monsoon may be delaying its exit from the country but post-monsoon low pressure areas are already at our doors, impatiently tapping their feet. Low pressure areas (LPAs) are linked to the convergence and upward motion of air, forming closed, anti-clockwise wind patterns in the Northern Hemisphere. And these systems can bring a ton of rainfall across the country when they cross the coasts. Amid the northeast monsoon's impeded arrival due to the southwest monsoon's reluctance to leave, a pair of rain-bearing systems are brewing on either side of South Peninsular India, threatening wet weather to those parts of the sub-continent. As per the India Meteorological Department (IMD), a cyclonic circulation lying over the southeast Bay of Bengal and adjoining Andaman Sea is likely to move west-northwestwards. During this period, it is expected to influence the formation of a low pressure area in the central parts of the Bay by Friday, October 20. In the meantime, another cyclonic circulation that has been stationed over the southeast Arabian Sea since Monday has now given way to the formation of a low pressure area in the region. Weather models indicate that this system will trudge west-northwestwards, developing into a well-marked low pressure area over the next 24 hours and then a depression over the Central Arabian Sea around Saturday, October 21. Its potential strength remains ambiguous for now, but should it further intensify, this system will become the first post-monsoon cyclone in the Arabian Sea this year. It will then be named 'Tej' in accordance with the naming list followed for cyclones in the Indian Ocean region. Accordingly, the IMD has predicted up to moderate showers accompanied by thunderstorms and lighting in Tamil Nadu and Kerala on Wednesday, October 18. Some scattered to fairly widespread rains might permeate South Interior Karnataka as well. Thunderstorm activity is expected to prevail over Kerala until October 19 while light to moderate rains are likely in Tamil Nadu until October 23. Given these predictions, a yellow watch has been issued across Kerala and Tamil Nadu for today so as to urge locals to 'be updated' about the inclement weather. Fisherfolk along the Kerala and Tamil Nadu coasts have been cautioned against venturing into sea today and tomorrow. Rough sea conditions are likely between October 20 and 22. Meanwhile, the IMD has predicted that the northeast monsoon will arrive in Tamil Nadu between October 23-25, meaning the southern state could witness an almost continuous supply of rains in the coming days. ",https://weather.com/en-IN/india/news/news/2023-10-18-two-low-pressure-systems-in-bob-and-arabian-sea-by-oct-20,-1
2023-10-18 03:00:59.403,7787800647,train,de828de1-8714-4f01-8447-c0c75027b871,Delays and cancellations on Greater Manchester trains with lines blocked,"Some trains in Greater Manchester are delayed or cancelled this morning due to 'an object caught in overhead wires'. The lines between Stockport and Stoke-on-Trent are currently blocked, according to National Rail. A number of routes from Manchester Piccadilly are affected. These include Avanti West Coast between London Euston and Manchester Piccadilly, CrossCountry between Paignton  Southampton Central  Bournemouth  Bristol Temple Meads  Birmingham New Street and Manchester Piccadilly and Northern between Stoke-on-Trent and Manchester Piccadilly. READ MORE: Injured woman rescued with six in hospital after double decker bus and Audi crash READ MORE: Email claiming there was 'suspicious package' on flight sees police block Manchester Airport runway with 'airfield closed' Trains may be delayed, cancelled or diverted. Disruption is expected until at least 11.30am, with passengers being urged to check before they travel. Below are the full details of the affected operators, according to National Rail: Avanti West Coast Macclesfield will not be served. You can use your ticket on the following at no extra cost: CrossCountry services between Stafford and Manchester Piccadilly Northern services between Crewe and Manchester Piccadilly CrossCountry Services may be diverted via Crewe. Macclesfield and Stoke-on-Trent will not be served. You may use your ticket on the following at no extra cost: Avanti West Coast services between Stafford and Manchester Piccadilly Northern services between Crewe and Manchester Piccadilly London Northwestern Railway services between Birmingham New Street and Crewe Transport for Wales services between Crewe and Manchester Piccadilly Replacement road transport is in operation between Stoke-on-Trent and Stockport via Macclesfield (operated by DHR, First Choice and Ocean Travel). Northern You may use your ticket on the following at no extra cost: Avanti West Coast services between Stoke-on-Trent  Crewe and Manchester Piccadilly CrossCountry services between Stoke-on-Trent and Manchester Piccadilly East Midlands Railway services between Stoke-on-Trent and Crewe London Northwestern Railway services between Stoke-on-Trent and Crewe Replacement road transport will operate as follows: 1 x bus at 08:15 from Stoke- On-Trent calling at all stops to Stockport (operated by Premier Travel) 2 x 16 seaters at 08:30 from Stockport calling at all stops to Stoke- On-Trent (provided by Daves Handy Rider and Premier Travel) Try MEN Premium for FREE by clicking here for no ads, fun puzzles and brilliant new features. Read more of today's top stories here",https://www.manchestereveningnews.co.uk/news/greater-manchester-news/delays-cancellations-greater-manchester-trains-27930126,-1
2023-10-18 03:00:59.403,7787605410,train,de828de1-8714-4f01-8447-c0c75027b871,3 hurt in Hong Kong after van mounts divider to cross lanes and crashes into bus,"Police say van driver slightly injured but passenger seriously wounded; remaining casualty is bus driver Crash occurred on Ching Hong Road in Tsing Yi shortly before 11am Three people in Hong Kong were injured on Wednesday after a delivery van crossed into an opposite lane by mounting a divider and collided head-on with a double-decker bus. The crash occurred outside Cheung Ching Estate on Ching Hong Road in Tsing Yi shortly before 11am.4 injured in crash between light rail train and delivery van in Hong Kong A police spokeswoman said the delivery van flipped onto its side from the impact of the crash, and emergency personnel had to free its driver and passenger who were trapped. The passenger suffered serious injuries and the driver was slightly hurt. The bus driver was also injured. The three men were sent to Yan Chai Hospital in Tsuen Wan for treatment.",https://www.scmp.com/news/hong-kong/law-and-crime/article/3238336/3-injured-hong-kong-crash-after-delivery-van-tries-cross-lanes-mounting-divider-collides-head-double,-1
2023-10-18 03:00:59.403,7787967056,train,de828de1-8714-4f01-8447-c0c75027b871,Storm Babet sparks travel chaos,"Storm Babet has sparked travel chaos this morning, with CrossCountry Trains cancelling all services between Exeter and Plymouth as Britain braces for an onslaught of heavy rain and 70mph gales. The country's second named storm of the season, will last until Saturday and is expected to bring more than a month's worth of rain, with the Met Office warning of flooding, power cuts and travel disruption. An amber severe weather warning has been put in place for parts of the UK, with the most severe conditions hitting east Scotland, where a 36 hour warning will remain in place from 6am on Thursday to 6pm on Friday. Parts of Scotland expected to see up to 150-200mm of rain fall. As a result of the miserable weather, LNER rail services will not run anywhere north of Edinburgh on Thursday and Friday due to the severe weather forecast. Two London Kings Cross Services to Aberdeen will terminate at York and Newcastle, while a train to Inverness will terminate at Edinburgh. Ventusky Privacy Policy Storm Babet is fast approaching the UK with gale force winds causing a tree to fall onto a car in Maida Vale, West London LNER rail services will not run anywhere north of Edinburgh on Thursday and Friday due to the severe weather forecast A fallen tree blocked the railway between Macclesfield and Stafford, causing all lines to be blocked, resulting in CrossCountry trains running through the area being cancelled or diverted This morning Storm Babet started to sweep into the British Isles already causing disruption to travel, as warnings were put place for strong winds and flooding. A fallen tree blocked the railway between Macclesfield and Stafford, causing all lines to be blocked, resulting in CrossCountry trains running through the area being cancelled or diverted. Transport for Wales stepped in to help commuters travelling between Crewe and Manchester Piccadilly, while a shuttle bus service replaced trains for those travelling to the area. Meanwhile in Maida Vale, West London a huge tree came crashing down onto a car, while the driver was trapped inside it. Fire crews raced to the scene and managed to miraculously grab the driver out of the crushed vehicle. Gale force winds are expected along the coast of Wales and South West England, as well as in higher areas such as Dartmoor in southern Devon and Eryri in North West Wales. The storm will first bring some heavy rain to Northern Ireland through this afternoon and into Thursday morning. The Met Office said people in the region can expect spray and flooding which may lead to difficult driving conditions and some road closures for the duration of the yellow warning for rain, which comes into effect at 2pm and expires at 10am on Thursday. It said 'there is a small chance' that homes and businesses could be flooded, causing damage to some buildings. It also warned of a a small chance of fast-flowing or deep floodwater, and communities being cut off by flooded roads. If flooding occurs, there is a chance of delays or cancellations to train and bus services. Met Office deputy chief meteorologist Tony Wardle said: 'Storm Babet will bring disruption for parts of the UK in the coming days, with heavy rain and strong winds likely for many. 'Heavy and persistent rain will fall onto already saturated ground bringing a risk of flooding. It is important to stay up to date with warnings from your local flood warning agency as well as the local authorities. 'As well as heavy rain, Storm Babet will bring some very strong winds and large waves near some eastern coasts too. Gusts around 70mph are possible in eastern and northern Scotland from Thursday. Met Office warnings will continue to be reviewed as the forecast develops.' The RNLI warned the strong winds that have been forecast along with heavy rain are likely to cause dangerous conditions for those visiting the coast around the UK and Ireland. RNLI water safety partner Sam Hughes said: 'The RNLI advises staying a safe distance away from the water and cliff edges as the conditions could knock you off your feet or wash you into the sea. It is not worth risking your life. 'If you see someone else in danger in the water, call 999 or 112 and ask for the Coastguard if by the coast, or the fire service if inland. If you have something that floats that they can hold on to, throw it to them. Do not go in the water yourself - you may end up in difficulty too.' The Met Office said low pressure is forecast to remain in charge of the UK's weather into the start of next week, with potential for further spells of wet and windy weather.",https://www.dailymail.co.uk/news/article-12643649/Travel-chaos-CrossCountry-cancels-trains-Exeter-Plymouth-LNER-stops-services-north-Edinburgh-Britain-braces-Storm-Babet.html,-1
